Analysis,Attribute,parent_class,parent_class_prob,child_class,child_class_prob,predicted_class
P_M20657,BASIC GROUP,1,0.9993857,5,0.8947196,icief basic peaks
R_YERVOY_SDSPAGESRED,Banda principal de Ipilimumab,0,0.99911004,2,0.94148207,ce-sds (non-reduced) purity
95007424_SYSTEM,% RSD SECOND BRACKET,6,0.55902594,1,0.9999987,protein concentration (a280)
R_YERVOY_CEX,Region acida liberacion,1,0.99854195,7,0.99760795,cex acidic peaks
R_YERVOY_CONCPROTEIN,Concentracion de proteina,6,0.6399213,1,1.0,protein concentration (a280)
Y_SM_250683_R,MAIN PEAK 1DECPT,1,0.98137313,9,0.8779877,cex main peak
T_250598,T_%_MONOMERO,2,0.99904686,1,0.99638945,rp-hplc purity
R_YERVOY_ELISA,Actividad de union (ELISA),4,0.9985752,2,0.99999833,potency by binding elisa
M00004294_VIS_PARTI,LIGHT INTENSITY AFTER,6,0.968777,1,1.0,protein concentration (a280)
D_250593,PI GROUP 3,5,0.6609447,1,1.0,ph
P_M15648,METHOD VERSION,4,0.99291354,1,0.9999248,potency by cell-based bioassay
Y_SM_250580_INP1,PROTEIN CONC 280 - 1DP,6,0.99689096,1,1.0,protein concentration (a280)
R_EMPLICITI_CONTDROG,Contenido de droga,2,0.95847076,7,0.8988826,se-uplc monomer
R_EMPLICITI_CESDSSRE,Pico principal,1,0.93536615,4,0.9232167,icief acidic peaks
Y_SM_250658_R,RM CEX ACIDIC GROUP 0 DECPT,1,0.9996517,7,0.9999727,cex acidic peaks
D_M00002800,PROTEIN CONCENTRATION,6,0.99784565,1,1.0,protein concentration (a280)
Y_SM_250580_R,RM PROTEIN CONC 280,6,0.99283594,1,1.0,protein concentration (a280)
D_250593,PEAK M4,6,0.79328454,1,1.0,protein concentration (a280)
T_250600_POLISORB,POLISORBATO 80,7,0.9559346,1,1.0,polysorbate 80
T_M00000094,T_PUREZA_REDUC_CADENA_PESADA_LIGERA,0,0.3988719,1,0.9926328,ce-sds (non-reduced) hhl
P_MTD-10493,LMW,2,0.99641305,3,0.8641982,se-hplc lmw
R_EMPLICITI_PARTIC,Particulas >= 25 um,3,0.99561346,2,0.9976501,particulate-matter >= 25-um
R_EMPLICITI_CEX,Pico 2,1,0.9970489,7,0.892171,cex acidic peaks
P_9345,PROTEIN CONCENTRATION,6,0.9978225,1,1.0,protein concentration (a280)
Y_SM_250658_R,RM CEX PEAK 1,1,0.99952185,9,0.6164635,cex main peak
R_YERVOY_SEC,Homogeneidad del monomero,2,0.5612471,1,0.9081733,rp-hplc purity
R_YERVOY_SDSPAGEREDU,Pureza acumulada de Ipilimumab,0,0.9984236,2,0.9507213,ce-sds (non-reduced) purity
D_250593,PI GROUP 2,5,0.8514071,1,1.0,ph
D_M00001098,PERCENT PURITY,0,0.9945639,3,0.7400063,ce-sds (reduced) purity
Y_SM_250191_R,RM SIZE HOMOGENEITY LMW SPECIES 1DECPT,2,0.99795914,3,0.99997604,se-hplc lmw
D_250599,IDENTITY PROT CONCENTRATION,6,0.9971872,1,1.0,protein concentration (a280)
P_M14772,BIOASSAY - CELL BASED,4,0.99926704,1,1.0,potency by cell-based bioassay
Y_SM_250735_R,GROUP 3,1,0.982532,7,0.9824284,cex acidic peaks
250580_TOTAL_PROT,RM CONCENTRATION COA,6,0.9956226,1,1.0,protein concentration (a280)
P_M15651,ANTI LAG3 MAIN PEAK,2,0.8685144,1,0.94861615,rp-hplc purity
Y_SM_250196_R,RM B7 BINDING  SPR,4,0.9992623,3,1.0,spr binding activity
Y_SM_250657,LMW XDP,2,0.9979267,3,0.9932774,se-hplc lmw
250657_SIZE_HOMOG,RM PEAK HEIGHT MONOMER MINIMUM,2,0.9983987,3,0.8364368,se-hplc lmw
250683_CE_SDS_NON_RE,SS RM5 IGG,0,0.9995097,2,0.9536819,ce-sds (non-reduced) purity
250580_TOTAL_PROT,SAMPLE 3 CONCENTRATION,6,0.9971258,1,1.0,protein concentration (a280)
Y_SM_250658,CEX PEAK 3,1,0.99961627,9,0.9948139,cex main peak
Y_GM_95009656,GM VERSION USED FOR TESTING,4,0.9173127,1,0.9999906,potency by cell-based bioassay
Y_SM_250193A_R,PROTEIN CONCENTRATION UV A280NM 1DECPT,6,0.99760747,1,1.0,protein concentration (a280)
249699_CAP_ELECT,MIG TIME SSS2 BELATACEPT,4,0.84670687,2,0.90826577,potency by binding elisa
249699_BELA,MIG TIME SSS1 BELATACEPT,4,0.9863688,3,0.8349103,spr binding activity
Y_SM_250658_R,CEX PEAK 1 0 DECPT,1,0.9995819,9,0.5084978,cex main peak
249699_CAP_ELECT,MIG TIME DIFFERENCE SSS2RWS BELATACEPT,4,0.8234533,2,0.91866785,potency by binding elisa
249699_CAP_ELECT,MIG TIME DIFFERENCE SSS1SSS2 ABATACEPT,4,0.6574221,2,0.9716733,potency by binding elisa
249699_CAP_ELECT,MIG TIME DIFFERENCE SSS1RWS BELATACEPT,4,0.8895922,2,0.9905743,potency by binding elisa
R_ABA_SEC,SEC-MonÃ³mero,0,0.51850885,3,0.96271396,ce-sds (reduced) purity
D_250495,PURITY REDUCED MAJOR BAND,0,0.9994361,3,0.93024963,ce-sds (reduced) purity
D_250495,PURITY NONREDUCED MAJOR BAND,0,0.99874216,2,0.4962894,ce-sds (non-reduced) purity
R_ORENCIAIV_VALORAC,ConcentraciÃ³n de Proteina - Abatacept,1,0.4354687,4,0.9833099,icief acidic peaks
R_ABA_SDSPAGERED,SDSPAGE Red Bandas inesperadas(indiv),0,0.99914384,3,0.49941596,ce-sds (reduced) purity
95007424_SYSTEM,DILUTION BUFFER  ABSORBANCE VALUE,6,0.79403377,1,1.0,protein concentration (a280)
D_M00001099,PERCENT PURITY,0,0.9940573,3,0.72194964,ce-sds (reduced) purity
D_250193,PROT CONCENTRATION UV 280 NM_DS,6,0.9975515,1,1.0,protein concentration (a280)
D_250627,BASIC PEAKS_1DP,1,0.9988967,8,0.9254472,cex basic peaks
R_NULOJIX_CONCPROTEI,Concentracion de Proteina-Belatacept,6,0.37337512,1,1.0,protein concentration (a280)
D_250473,GROUP 2,4,0.37856662,1,0.99524,potency by cell-based bioassay
D_250192,SDS COOM NONREDUCED ADD BAND GT 1PCT,0,0.99948716,3,0.79986066,ce-sds (reduced) purity
D_M00001099,SUM OF MINOR PEAKS,1,0.9912839,4,0.8159237,icief acidic peaks
D_321C,TOTAL PARTICLES 10 MICRON,3,0.998243,2,0.99951434,particulate-matter >= 25-um
P_M12568,pH,5,0.99758875,1,1.0,ph
D_250546,SEMIQUANT EVALUATION,2,0.5074737,1,0.6540461,rp-hplc purity
Y_SM_250197_R,SIALIC ACID NANA 1DECPT,0,0.46346316,3,0.9004497,ce-sds (reduced) purity
D_M00002527,PURITY NONREDUCED MAJOR BAND,0,0.9981686,3,0.5634287,ce-sds (reduced) purity
D_M00002527,ADDITIONAL BANDS > 0.5% NONREDUCED,0,0.94107276,1,0.6544469,ce-sds (non-reduced) hhl
D_95007424,PROT CONCENTRATION UV 280 NM_0DP,6,0.99752635,1,1.0,protein concentration (a280)
D_250593,GROUP 2A,4,0.35680288,1,0.99999475,potency by cell-based bioassay
Y_SM_250735_R,PEAK M5,1,0.9876508,7,0.8892527,cex acidic peaks
R_EMPLICITI_CESDSRED,Suma de picos HC y LC,2,0.8583197,7,0.9482844,se-uplc monomer
Y_SM_250658_R,CEX PEAK 5,1,0.99960893,7,0.54378486,cex acidic peaks
D_250435,ACIDIC REGION,1,0.9744776,4,0.83494383,icief acidic peaks
D_250598,HIGH MOLECULAR WEIGHT SPECIES_0DP,2,0.99837875,3,0.9816729,se-hplc lmw
R_EMPLICITI_CEX,Pico 1,1,0.9971066,7,0.892171,cex acidic peaks
D_250627,BASIC PEAKS_0DP,1,0.9994081,8,0.9804567,cex basic peaks
D_M00000094,MINOR_1DP,0,0.85705215,1,0.60498714,ce-sds (non-reduced) hhl
D_250658,PEAK 2,1,0.8580239,9,0.49428025,cex main peak
D_250192,SDS COOM NONREDUCED ADD BAND GT 2PCT,0,0.9994863,3,0.8491717,ce-sds (reduced) purity
249699_BELA,RESULT BOTTLE COMPARED WITH SSS2,4,0.9881334,1,0.99799407,potency by cell-based bioassay
D_M00004364,PURITY NONREDUCED MAJOR BAND,0,0.998359,3,0.5070681,ce-sds (reduced) purity
D_250658,PEAK 1,1,0.95006245,9,0.49428025,cex main peak
D_M00004364,PURITY REDUCED MAJOR BAND,0,0.9993699,3,0.9431576,ce-sds (reduced) purity
249699,RESULT BOTTLE COMPARED WITH SSS2,4,0.9904308,1,0.99565023,potency by cell-based bioassay
D_250658,PEAK 5,1,0.925888,9,0.49428025,cex main peak
D_250658,SUM OF PEAKS 3_4_5,1,0.7098522,4,0.86223656,icief acidic peaks
D_250600,POLYSORBATE 80,7,0.9977011,1,1.0,polysorbate 80
P_M15491,PARTICULATE MATTER(HIAC)>=25 MICROMETERS,3,0.9983412,2,0.8033993,particulate-matter >= 25-um
D_95007424,PCT TARGET FILL,4,0.8386554,1,0.99837327,potency by cell-based bioassay
R_EMPLICITI_CONCPROT,Concentracion de proteinas,2,0.9179961,7,0.93460095,se-uplc monomer
R_EMPLICITIINY_SEC,MonÃ³mero,2,0.9226984,1,0.5152368,rp-hplc purity
249699,MIG TIME DIFFERENCE SSS1SSS2 ABATACEPT,4,0.899599,2,0.4418869,potency by binding elisa
249491_BET,BACTERIAL ENDOTOXINS,4,0.97580284,1,0.7740197,potency by cell-based bioassay
P_M15790,TOTAL PROTEIN CONCENTRATION (A280),6,0.9978036,1,1.0,protein concentration (a280)
Y_SM_250684_R,RED HEAVY AND LIGHT CHAINS HC+LC 1DECPT,0,0.94992316,3,0.99996793,ce-sds (reduced) purity
249699_BELA,RESULT BOTTLE COMPARED WITH SSS1,4,0.9924044,1,0.9925915,potency by cell-based bioassay
249699,MIG TIME SSS1 BELATACEPT,4,0.9868233,2,0.63551176,potency by binding elisa
249699,RESULT BOTTLE COMPARED WITH SSS1,4,0.99442106,1,0.9767593,potency by cell-based bioassay
249699,MIG TIME DIFFERENCE SSS1RWS ABATACEPT,4,0.954726,2,0.6733776,potency by binding elisa
249699,MIG TIME SSS1 ABATACEPT,4,0.9756698,2,0.60870326,potency by binding elisa
250626_CE_SDS_REDUC,HC HEAVY CHAIN,0,0.99954766,3,0.99918574,ce-sds (reduced) purity
250629_POT_ELISA_P1,SS 1 SPL 1 WIDTH REL CONF INT,4,0.9973827,3,0.9940732,spr binding activity
249699,MIG TIME DIFFERENCE SSS1SSS2 BELATACEPT,4,0.94862777,2,0.45104516,potency by binding elisa
249699,MIG TIME SSS2 BELATACEPT,4,0.9822819,3,0.6276542,spr binding activity
249699,MIG TIME BOTTLE,4,0.48282883,1,0.8985597,potency by cell-based bioassay
249699,MIG TIME DIFFERENCE SSS1RWS BELATACEPT,4,0.9749829,2,0.69590217,potency by binding elisa
R_ABA_SDSPAGESINRED,Bandas Inesperadas ( individual) <= 1%,0,0.9983311,3,0.8398511,ce-sds (reduced) purity
Y_SM_250658_R,CEX PEAK 1,1,0.999574,7,0.54378486,cex acidic peaks
Y_SM_250657_R,RS LMW,2,0.99656624,3,0.9942726,se-hplc lmw
249699,MIG TIME BELATACEPT RWS,4,0.9562477,3,0.6492958,spr binding activity
95009822_HUMAN_CELL,HUMAN CELL IL 2 INH ASSAY RESULT 60 140,4,0.99895537,1,1.0,potency by cell-based bioassay
T_M00000093,T_PUREZA_NOREDUC_PICO_PRINCIPAL,1,0.520603,5,0.6218929,icief basic peaks
Y_SM_250191_R,RM SIZE HOMOGENEITY HMW SPECIES 1DECPT,2,0.9989071,3,0.9999813,se-hplc lmw
95007441_B7_BINDING,B7 BINDING BIACORE RESULT,4,0.9992243,3,1.0,spr binding activity
95007425_ISOE_FOCUS,PI RANGE 4.3 TO 5.6,6,0.47935364,1,1.0,protein concentration (a280)
Y_SM_250193A_R,RM PROTEIN CONCENTRATION 1DECPT,6,0.99729556,1,1.0,protein concentration (a280)
95007424_SYSTEM,Cf,6,0.6285338,1,1.0,protein concentration (a280)
Y_SM_250192_R,RM SDS COO REDUCED ADDITIONAL BAND,0,0.9995177,3,0.996086,ce-sds (reduced) purity
250658_CATION_EXCH,PEAK 3,1,0.9987061,9,0.59537256,cex main peak
250684_CE_SDS_REDUC,SS RM4 PURITY HC AND LC PEAKS,0,0.9995499,3,0.9999225,ce-sds (reduced) purity
Y_250192_SDS,NonRed: Belatacept Major Band,0,0.9995266,4,0.9738091,sds-page (non-reduced) purity
Y_SM_250519_R,RM B7 BINDING SPR,4,0.9992582,3,1.0,spr binding activity
250626_CE_SDS_REDUC,LC LIGHT CHAIN,0,0.99951017,3,0.99541736,ce-sds (reduced) purity
95007424_PROT_CONT,PROTEIN CONCENTRATION,6,0.997755,1,1.0,protein concentration (a280)
249699_BELA,MIG TIME DIFFERENCE SSS1SSS2 ABATACEPT,4,0.86639833,3,0.8560101,spr binding activity
95007433_PART_MATT,TOTAL PARTICLE CONTAINER 25 MICRONS,3,0.9980835,2,0.99729604,particulate-matter >= 25-um
249699_BELA,MIG TIME SSS2 BELATACEPT,4,0.9816046,3,0.9004979,spr binding activity
249699_CAP_ELECT,MIG TIME DIFFERENCE ABABEL IN SSS2,6,0.5586546,1,1.0,protein concentration (a280)
249491_BET_BEFORE,BACTERIAL ENDOTOXINS BEFORE PF,4,0.9097699,1,0.48353902,potency by cell-based bioassay
D_250593,PI GROUP 1,5,0.860476,1,1.0,ph
249699,MIG TIME DIFFERENCE SSS2RWS ABATACEPT,4,0.92884994,1,0.41882738,potency by cell-based bioassay
M00004297_VIS_PART,FINAL READING LIGHT INTENSITY,6,0.9489407,1,1.0,protein concentration (a280)
249699_BELA,MIG TIME DIFFERENCE SSS1RWS ABATACEPT,4,0.93808854,3,0.85698116,spr binding activity
Y_SM_95007421_R,RM SIZE HOMOGENEITY MONOMER  1DECPT,2,0.99651957,1,0.6953908,rp-hplc purity
Y_250191_HMG,Monomer,2,0.9992311,4,0.9987618,se-hplc monomer
Y_SM_250735_R,GROUP 1,1,0.96489835,7,0.9824284,cex acidic peaks
Y_SM_250657,HMW,2,0.9990859,2,0.87371224,se-hplc hmw
M00004297_VIS_PART,VIALS WITH VISIBLES PARTICULATES,3,0.99715173,2,0.9993304,particulate-matter >= 25-um
Y_SM_250735_R,PEAK M6,1,0.9930478,7,0.8595841,cex acidic peaks
249699_BELA,MIG TIME DIFFERENCE SSS2RWS ABATACEPT,4,0.9066701,3,0.6975298,spr binding activity
249699,MIG TIME DIFFERENCE ABABEL IN SSS1,4,0.54277307,2,0.9789811,potency by binding elisa
D_250598,MONOMER_0DP,2,0.9979265,4,0.49853742,se-hplc monomer
249699,MIG TIME DIFFERENCE SSS2RWS BELATACEPT,4,0.9571862,1,0.49948603,potency by cell-based bioassay
95007424_SYSTEM,% RSD INITIAL BRACKET,6,0.5961191,1,0.99999845,protein concentration (a280)
P_M20656,METHOD VERSION,4,0.99230003,1,0.9997451,potency by cell-based bioassay
Y_250207_IL2,Bioassay,4,0.99927396,1,0.9067341,potency by cell-based bioassay
Y_250196_B7B,B7 Binding,4,0.99921024,3,0.99938655,spr binding activity
D_250735,PI GROUP 2,5,0.7859333,1,1.0,ph
249491_BET_PRE-FILT,BACTERIAL ENDOTOXINS PRE FILTRATION,4,0.9054586,1,0.9924022,potency by cell-based bioassay
249699_BELA,MIG TIME SSS1 ABATACEPT,4,0.9768151,3,0.86855686,spr binding activity
P_M20812,POLYSORBATE 80,7,0.99770516,1,1.0,polysorbate 80
P_MTD-10447,BASIC GROUP,1,0.9980355,8,0.8637447,cex basic peaks
R_ABA_SDSPAGESINRED,SDSPAGE Sin Red Bandas Inesperadas (ind),0,0.9992848,1,0.7857342,ce-sds (non-reduced) hhl
249491_BET_FINISHED,BACTERIAL ENDOTOXINS FINISHED,4,0.9780556,2,0.5379017,potency by binding elisa
Y_SM_250197_R,RM SIALIC ACID NGNA 1DECPT,4,0.56996495,3,1.0,spr binding activity
Y_SM_250658_R,RM CEX ACIDIC GROUP,1,0.99965227,7,0.9999796,cex acidic peaks
D_M00002527,ADDITIONAL BANDS > 0.5% REDUCED,0,0.99291515,3,0.7681112,ce-sds (reduced) purity
D_250593,PEAK M3,1,0.4566009,9,0.50515145,cex main peak
250580_TOTAL_PROT,RM1 CONCENTRATION INITIAL,6,0.99686974,1,1.0,protein concentration (a280)
250658_CATION_EXCH,RT PEAK 1 SAMPLE,1,0.9987465,9,0.98935145,cex main peak
250580_TOTAL_PROT,SAMPLE 2 CONCENTRATION,6,0.9972645,1,1.0,protein concentration (a280)
Y_SM_95009822_R,QC IL 2 INHIBITION ASSAY AVG POT,4,0.9991303,3,0.8820883,spr binding activity
Y_250193_UV,Protein Concentration,6,0.99780387,1,1.0,protein concentration (a280)
P_M20687,METHOD VERSION,4,0.9943177,1,0.9998023,potency by cell-based bioassay
P_M20659,SUM OF MINOR PEAKS >=QL,1,0.49636635,6,0.71931523,icief main peak
M00004297_VIS_PART,INITIAL READING LIGHT INTENSITY,6,0.9540011,1,1.0,protein concentration (a280)
Y_SM_250192_R,RM SDS COO NONREDUCED ADDITIONAL BAND,0,0.99948514,3,0.9421681,ce-sds (reduced) purity
Y_SM_250658,RM CEX PEAK 3,1,0.99959487,9,0.996525,cex main peak
250682_DRUG_CONT_ELO,RM PAAD,2,0.5110962,3,0.9576766,se-hplc lmw
250658_CATION_EXCH,ACIDIC FRONT,1,0.9996276,7,0.7918683,cex acidic peaks
R_OPDIVOINY_SEC,MonÃ²mero Liberacion,2,0.9258983,4,0.53523606,se-hplc monomer
D_95007433,PARTICULATE MATTER >=25 MICRONS,3,0.99831367,2,0.9994912,particulate-matter >= 25-um
Y_SM_250197_R,SIALIC ACID NANA,0,0.48911873,3,0.84872186,ce-sds (reduced) purity
249699_ID_ABATAC,MIG TIME SSS1 BELATACEPT,4,0.9440926,2,0.9957279,potency by binding elisa
Y_SM_250657_R,RS MONOMER,2,0.9991066,1,0.8152217,rp-hplc purity
P_M20656,MONOMER,2,0.9991097,1,0.3996035,rp-hplc purity
P_M20657,METHOD_VERSION,4,0.9940661,1,0.9997633,potency by cell-based bioassay
P_M20656,HMW,2,0.99912566,2,0.5180525,se-hplc hmw
Y_SM_250192_R,SDS COO NONREDUCED MAJOR BAND,0,0.9995627,3,0.82484716,ce-sds (reduced) purity
R_OPDIVOINY_SEC,Especies de alto peso molecular,2,0.9786637,4,0.53706586,se-hplc monomer
R_NULOJIX-SDSREDUCID,Pureza banda mayor,0,0.99883956,3,0.78176856,ce-sds (reduced) purity
R_NULOJIX_SEC,MonÃ³mero,2,0.37560412,1,0.47233593,rp-hplc purity
R_NULOJIX_SDSSINRED,Pureza banda mayor,0,0.9921118,3,0.76377165,ce-sds (reduced) purity
P_M20635,MINOR PEAK 1 => QL,6,0.6224491,1,1.0,protein concentration (a280)
Y_SM_250197_R,SIALIC ACID NGNA,4,0.8133145,3,0.9997713,spr binding activity
250626_CE_SDS_NO_RE,HHL FRAGMENT OF IGG,0,0.9995215,1,0.9715598,ce-sds (non-reduced) hhl
D_250593,PEAK M1,1,0.82484186,6,0.7091998,icief main peak
P_M20635,PURITY,0,0.9984536,3,0.6363564,ce-sds (reduced) purity
Y_SM_250658,CEX PEAK 2 0 DECPT,1,0.9995945,9,0.99537957,cex main peak
JP_PH,PH,5,0.99772173,1,1.0,ph
D_JP_PH,PH,5,0.9977198,1,1.0,ph
Y_SM_250658_R,CEX SUM OF PEAKS 3 4 AND 5,1,0.9993375,7,0.98207456,cex acidic peaks
P_M20635,RRT MINOR PEAK 2 => QL,6,0.868074,1,1.0,protein concentration (a280)
Y_250396_SDS,Reduced: Cumulative Purity,0,0.9995851,2,0.54071194,ce-sds (non-reduced) purity
D_M00001099,HEAVY CHAIN,0,0.57585824,3,0.9591951,ce-sds (reduced) purity
249699,MIG TIME SSS2 ABATACEPT,4,0.9618966,3,0.68975335,spr binding activity
D_250658,PEAK 3,1,0.82260907,9,0.49428025,cex main peak
P_M20659,HC,4,0.4357383,1,0.97619814,potency by cell-based bioassay
P_M20659,RRT MINOR PEAK 1 => QL,6,0.8112968,1,1.0,protein concentration (a280)
P_M20635,RRT MINOR PEAK 1 => QL,6,0.86333925,1,1.0,protein concentration (a280)
Y_SM_250192_R,RM SDS COO NONREDUCED MAJOR BAND,0,0.99951136,3,0.930033,ce-sds (reduced) purity
Y_SM_95007441_R,RM B7 BINDING  SPR,4,0.99924845,3,1.0,spr binding activity
250626_CE_SDS_REDUC,NGHC NON GLYCOSYLATED HEAVY CHAIN,0,0.99948394,1,0.66539097,ce-sds (non-reduced) hhl
Y_SM_95007421_R,SIZE HOMOGENEITY LMW SPECIES  1DECPT,2,0.9952108,3,0.9998994,se-hplc lmw
250626_CE_SDS_NO_RE,PURITY OF MAJOR PEAK,0,0.99955803,2,0.99980146,ce-sds (non-reduced) purity
P_M20657,ACIDIC GROUP,1,0.9993901,4,0.9717343,icief acidic peaks
D_250495,ADDITIONAL BANDS > 0.5% REDUCED,0,0.99225736,3,0.78723806,ce-sds (reduced) purity
D_M00003787,PROT_CONC_MG_ML_1DP,6,0.9546312,1,1.0,protein concentration (a280)
249699,MIG TIME ABATACEPT RWS,4,0.9106135,3,0.73104304,spr binding activity
M00004297_VIS_PART,TOTAL NO PARTICLES OBSERVED,3,0.9909661,2,0.99953973,particulate-matter >= 25-um
249699_BELA,MIG TIME DIFFERENCE SSS2RWS BELATACEPT,4,0.935189,3,0.6108166,spr binding activity
Y_SM_250359A_R,PROTEIN CONCENTRATION UV A280 NM,6,0.9978066,1,1.0,protein concentration (a280)
250629_POT_ELISA_P2,SS 2 SPL 2 REGRESSION P VALUE,4,0.9986272,3,0.9370306,spr binding activity
Y_SM_250197_R,RM SIALIC ACID NANA,1,0.66309553,7,0.99961346,cex acidic peaks
D_M00003071,PH,5,0.9976035,1,1.0,ph
95007424_SYSTEM,Ci,6,0.9051264,1,0.9999999,protein concentration (a280)
Y_SM_250197_R,RM SIALIC ACID NGNA,4,0.8788872,3,1.0,spr binding activity
249699_ID_ABATAC,MIG TIME DIFFERENCE SSS2RWS BELATACEPT,4,0.8804843,2,0.9796282,potency by binding elisa
95007421_SIZE_HOMOG,MONOMER,2,0.99899656,4,0.8401348,se-hplc monomer
Y_SM_95009822_R,IL 2 INHIBITION ASSAY BIOASSAY,4,0.9992587,1,0.8818326,potency by cell-based bioassay
249699,MIG TIME DIFFERENCE ABABEL IN SSS2,4,0.3335249,2,0.8818251,potency by binding elisa
Y_SM_250735_R,PEAK M4,1,0.9631029,7,0.7453754,cex acidic peaks
Y_SM_250735_R,GROUP 2,1,0.97243136,7,0.9824284,cex acidic peaks
249699_CAP_ELECT,MIG TIME BELATACEPT RWS,4,0.6707253,3,0.74840677,spr binding activity
Y_SAM_A280,PROTEIN CONC A280 SAMSUNG,6,0.99699235,1,1.0,protein concentration (a280)
R_ABA_SEC,SEC-Especies de bajo peso molecular,2,0.98122334,1,0.6971681,rp-hplc purity
Y_SM_250658_R,CEX ACIDIC GROUP 0 DECPT,1,0.9996624,7,0.99998486,cex acidic peaks
249699_BELA,MIG TIME SSS2 ABATACEPT,4,0.96614397,3,0.9258643,spr binding activity
R_ABA_SDSPAGERED,SDSPAGE Red Banda mayoritaria,0,0.9991862,1,0.5272588,ce-sds (non-reduced) hhl
95007424_PROT_CONT,PROTEIN CONCENTRATION SAMPLE READING 1,6,0.99772364,1,1.0,protein concentration (a280)
249699_ID_ABATAC,MIG TIME DIFFERENCE SSS1SSS2 ABATACEPT,4,0.8002115,2,0.9906825,potency by binding elisa
Y_SM_250192_R,RM SDS COO REDUCED MAJOR BAND,0,0.99952495,3,0.9964683,ce-sds (reduced) purity
95007433_PART_MATT,TOTAL PARTICLE CONTAINER 10 MICRONS,3,0.99805826,2,0.99729604,particulate-matter >= 25-um
Y_SM_95007423_R,SDS COO REDUCED MAJOR BAND,0,0.99955434,3,0.99400675,ce-sds (reduced) purity
249699_CAP_ELECT,MIG TIME DIFFERENCE SSS1RWS ABATACEPT,4,0.78073287,2,0.9903605,potency by binding elisa
95007423_SDS_PAGE,SDS C00M ST NONREDUCED ABAT MAJOR BAND,0,0.99957925,4,0.85943973,sds-page (non-reduced) purity
Y_SM_95007424_R,RM PROTEIN CONC UV A280 1DECPT,6,0.99598205,1,1.0,protein concentration (a280)
Y_SM_250684_R,REDUCED HEAVY CHAIN 1DECPT,0,0.99751127,3,0.99971944,ce-sds (reduced) purity
249699_BELA,MIG TIME DIFFERENCE SSS1RWS BELATACEPT,4,0.96120995,3,0.8215806,spr binding activity
Y_SM_250357_R,SIZE HOMOGENEITY MONOMER 1DECPT,2,0.9986204,4,0.91204375,se-hplc monomer
Y_SM_250657_R,LMW,2,0.99800783,3,0.9763716,se-hplc lmw
Y_SM_250207_R,RM IL2 INHIBITION ASSAY BIOASSAY,4,0.99924004,3,0.99997663,spr binding activity
95009822_HUMAN_CELL,HUMAN CELL IL 2 INH ASSAY RESULT 70 140,4,0.99899286,1,1.0,potency by cell-based bioassay
95007425_ISOE_FOCUS,PI RANGE 4.3 TO 5.3 CUM. BANDS INTENSITY,6,0.73053783,1,1.0,protein concentration (a280)
Y_SM_250658,CEX SUM OF PEAKS 3 4 AND 5,1,0.99922884,7,0.91021883,cex acidic peaks
95007421_SIZE_HOMOG,HIGH MOLECULAR WEIGHT SPECIES <=4.0,2,0.98184973,2,0.79481286,se-hplc hmw
95007424_SYSTEM,ABSORBANCE AT 280 STD 3 INITIAL BRACKET,6,0.9966049,1,1.0,protein concentration (a280)
250580_TOTAL_PROT,RM DIFFERENCE FINAL VS INITIAL,6,0.9452291,1,1.0,protein concentration (a280)
249699_BELA,MIG TIME DIFFERENCE SSS1SSS2 BELATACEPT,4,0.92666674,3,0.80686456,spr binding activity
249699_BELA,MIG TIME BELATACEPT RWS,4,0.9571109,3,0.8185264,spr binding activity
250684_CE_SDS_REDUC,SS RSD RM INIT INJECTION,0,0.9993505,3,0.9973189,ce-sds (reduced) purity
Y_SM_250473_R,RM GROUP 3 pI 5.55 to 6.05,6,0.73663217,1,1.0,protein concentration (a280)
249699_BELA,MIG TIME DIFFERENCE ABABEL IN SSS1,4,0.39687452,2,0.93318003,potency by binding elisa
Y_SM_250658_R,RM CEX PEAK 3,1,0.9995409,9,0.6164635,cex main peak
Y_SM_95009822_R,EC50-1,4,0.9609263,3,0.9999968,spr binding activity
P_M20659,PURITY,0,0.9975668,3,0.6715669,ce-sds (reduced) purity
Y_SM_95007441_R,B7 QC's,4,0.99870884,3,1.0,spr binding activity
Y_SM_250657_R,HMW,2,0.9989858,1,0.7534193,rp-hplc purity
Y_SM_250658_R,CEX PEAK 4,1,0.99959177,7,0.54378486,cex acidic peaks
D_M00004364,ADDITIONAL BANDS GT 1.0 PERCENT REDUCED,0,0.99432063,3,0.9784984,ce-sds (reduced) purity
Y_SM_250359_R,RM PROTEIN CONCENTRATION,6,0.9975776,1,1.0,protein concentration (a280)
95007425_ISOE_FOCUS,PI RANGE 4.5 TO 5.2 PROMINENT BANDS,6,0.46467012,1,1.0,protein concentration (a280)
95007421_SIZE_HOMOG,LOW MOLECULAR WEIGHT SPECIES,2,0.9970348,3,0.91511893,se-hplc lmw
95007425_ISOE_FOCUS,PI 4.5 OR PROXIMITY VISIBLE BANDS,6,0.7976509,1,1.0,protein concentration (a280)
M00004106_FUNC_TEST,TEMPERATURE READING,5,0.7136668,1,0.99971527,ph
95007424_SYSTEM,VF,6,0.7766149,1,0.9999989,protein concentration (a280)
95007423_SDS_PAGE,SDS C00M ST REDUCED ABAT MAJOR BAND,0,0.99957913,4,0.54980844,sds-page (non-reduced) purity
M00004106_FUNC_TEST,VOLUME STANDARD DEVIATION,4,0.9721872,1,0.7828535,potency by cell-based bioassay
